"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","2.093115","0","4"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","14","8","213.748199","0","2030"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","4","1","8.176932","0","25"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","4.017389","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","5.851103","0","10"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","6.945961","0","9"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","5.698935","0","6"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","17.200804","0","173"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","3.915098","0","19"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","3.384103","0","19"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","26.927385","0","394"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","3.627917","0","19"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","6.917635","0","84"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","10.757307","0","110"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","3.189113","0","19"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","3.171496","0","19"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","147.082184","0","10336"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","1","1","43.242691","0","681"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","3.040857","0","13"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","1","1","41.680149","0","683"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","1","1","41.802181","0","697"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","30.689789","0","381"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","1","1","5.641741","0","34"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","2","2","38.940399","0","646"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","1","1","6.464988","0","53"
"/ControlRig/M_Manip.M_Manip","0","9","1","1","5.640433","0","53"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","10.179277","0","26"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","3.103123","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","7.481440","0","26"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","6","6","39.013004","5","312"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","1","1","226.504974","0","1253"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","1","1","6.453520","0","50"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","1","1","87.397903","0","2113"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","1","1","151.456467","0","3363"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","1","1","576.887939","0","46969"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","2","1","24.372484","0","324"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","3.534559","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","3.699101","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","1","1","161.676468","0","3635"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","1","1","14.328606","0","74"
"/Game/StarterContent/Materials/Stars_At_Night.Stars_At_Night","0","14","1","1","15.979429","0","82"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","1","1","130.195038","0","1462"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","81.312752","0","854"
"/Game/Characters/Player/Tunic_R.Tunic_R","0","28","1","1","29.948740","0","276"
"/Game/Characters/Sword/Sword_Mat.Sword_Mat","0","28","1","1","30.005606","0","255"
"/Game/Characters/Player/Tunic_L.Tunic_L","0","28","1","1","31.228260","0","299"
"/Game/Characters/Player/Sword_Shield.Sword_Shield","0","28","1","1","30.228941","0","292"
"/Game/Characters/Player/Helm_1.Helm_1","0","28","1","1","30.993170","0","263"
"/Game/Characters/Player/Gladiator_213.Gladiator_213","0","28","1","1","31.083628","0","325"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","4","1","1","2.930406","0","13"
"/Game/Characters/Player/Shoulder_armour1_4.Shoulder_armour1_4","0","28","1","1","30.488192","0","274"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","14.844659","0","108"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","1","1","19.632776","0","116"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","2","2","21.665489","0","212"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","173.411255","0","175"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","1","1","14.672096","0","90"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","1","1","14.481367","0","93"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","14.981099","0","66"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","1","1","14.897865","0","83"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","4","4","837.796631","0","1080"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","4","4","109.916656","0","1112"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","8","8","1481.305786","0","1756"
"/Game/Characters/Enemy/Knight/Mesh/Materials/EyeSpec_MAT4.EyeSpec_MAT4","0","28","1","1","30.589024","0","183"
"/Game/Characters/Enemy/Knight/Mesh/Materials/EyeSpec_MAT2.EyeSpec_MAT2","0","28","1","1","30.677805","0","176"
"/Game/Characters/Enemy/Archer/Mesh/Body_MAT.Body_MAT","0","28","1","1","30.373407","0","177"
"/Game/ThirdPerson/Maps/Arena/arena-httyd/textures/arena26-_uv38_blend_slupki_bramaIn_BaseCol_Mat.arena26-_uv38_blend_slupki_bramaIn_BaseCol_Mat","0","14","1","1","14.601437","0","49"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","1","1","3.445441","0","13"
"/Game/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","54","1","1","46.556595","0","525"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","23","1","1","26.105373","0","176"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","23","1","1","26.015007","0","155"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","1","1","26.312355","0","153"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","1","1","26.905979","0","133"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","1","1","25.996876","0","115"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","6","1","26.524990","0","202"
"/Game/Characters/Enemy/Archer/Longbow/bow1.bow1","0","42","1","1","48.147148","0","408"
"/Game/Characters/Enemy/Archer/Mesh/Akai_MAT.Akai_MAT","0","28","7","1","31.660387","0","236"
"/Game/Characters/Enemy/Archer/Mesh/EyeSpec_MAT.EyeSpec_MAT","0","28","1","1","31.425179","0","236"
"/Game/Characters/Enemy/Archer/Mesh/eyelash_MAT.eyelash_MAT","0","40","1","1","45.161892","0","316"
"/Game/Characters/Enemy/Archer/Longbow/dirty_arrow.dirty_arrow","0","14","1","1","15.743164","0","91"
"/Game/ThirdPerson/Maps/torch/textures/torch_BaseColor_Mat.torch_BaseColor_Mat","0","14","1","1","15.343015","0","71"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","15","1","1","12.163887","0","94"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","27","1","1","18.168201","0","178"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","20","1","1","14.962358","0","103"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","60","1","1","63.514153","0","654"
"/Game/ThirdPerson/Maps/Arena/arena-httyd/textures/arena26-_uv25_blend_arena003_BaseColor_Mat.arena26-_uv25_blend_arena003_BaseColor_Mat","0","14","1","1","15.001736","0","76"
"/Game/ThirdPerson/Maps/Arena/arena-httyd/textures/arena26-_uv41_blend_arena002_BaseColor_Mat.arena26-_uv41_blend_arena002_BaseColor_Mat","0","14","1","1","14.924213","0","78"
"/Game/ThirdPerson/Maps/Arena/arena-httyd/textures/TexturesCom_Wood_Rough2_header_Mat.TexturesCom_Wood_Rough2_header_Mat","0","14","2","1","14.831801","0","75"
"/Game/Characters/Knight/Ganfaul_Body.Ganfaul_Body","0","28","1","1","30.833647","0","186"
"/Game/Characters/Enemy/Knight/Mesh/Materials/blinn7.blinn7","0","28","1","1","31.243765","0","203"
"/Game/Characters/Enemy/Knight/Mesh/Materials/Body_MAT4.Body_MAT4","0","28","1","1","30.991516","0","175"
"/Game/Characters/Enemy/Knight/Mesh/Materials/Lashes_MAT4.Lashes_MAT4","0","40","1","1","43.749992","0","399"
"/Game/Characters/Enemy/Knight/Mesh/Materials/MaleBruteA_Bottom5.MaleBruteA_Bottom5","0","28","1","1","30.927420","0","267"
"/Game/Characters/Enemy/Knight/Mesh/Materials/MaleBruteA_Hair6.MaleBruteA_Hair6","0","40","1","1","45.039818","0","353"
"/Game/Characters/Enemy/Knight/Mesh/Materials/MaleBruteA_Moustache5.MaleBruteA_Moustache5","0","40","1","1","43.538635","0","364"
"/Game/Characters/Enemy/Knight/Mesh/Materials/MaleBruteA_Shoes6.MaleBruteA_Shoes6","0","28","1","1","30.620844","0","161"
"/Game/ThirdPerson/Maps/Arena/arena-httyd/textures/TexturesCom_Pavement_CobblestoneMedieval11_header_Mat.TexturesCom_Pavement_CobblestoneMedieval11_header_Mat","0","14","1","1","14.720756","0","60"
"/Game/Characters/Enemy/Knight/Mesh/Materials/phong4.phong4","0","28","2","1","29.988968","0","205"
"/Game/ThirdPerson/Maps/Arena/arena-httyd/source/slupki_bramaIn.slupki_bramaIn","0","14","3","1","14.874020","0","42"
"Globals","49","5066","0","1","0.000000","0","0"
